model,id,name
inventory.brand,223,caroe hochman
inventory.brand,224,caroinna espinosa
inventory.brand,225,carrano
inventory.brand,226,carrini
inventory.brand,227,cat
inventory.brand,228,caterpiar
inventory.brand,229,ccilu
inventory.brand,230,ceciia undercover
inventory.brand,231,ceebrity 
inventory.brand,232,ceeste
inventory.brand,233,cesare paciotti
inventory.brand,234,cfd
inventory.brand,235,chaco
inventory.brand,236,chaps
inventory.brand,237,charades
inventory.brand,238,chares abert
inventory.brand,239,chares by chares david
inventory.brand,240,chares david
inventory.brand,241,charotte oympia
inventory.brand,242,chary amar
inventory.brand,243,charter cub
inventory.brand,244,chase & choe
inventory.brand,245,chass
inventory.brand,246,cheeks
inventory.brand,247,chesea & zoe
inventory.brand,248,chesea crew
inventory.brand,249,chie mihara
inventory.brand,250,chinese laundry
inventory.brand,251,choe
inventory.brand,252,christian louboutin
inventory.brand,253,circa joan & david
inventory.brand,254,circus by sam edeman
inventory.brand,255,city cassified
inventory.brand,256,citycassified
inventory.brand,257,cl by laundry
inventory.brand,258,carisse
inventory.brand,259,carks
inventory.brand,260,carks artisan
inventory.brand,261,carks artisan coection
inventory.brand,262,carks coection
inventory.brand,263,cassique
inventory.brand,264,ceopatra
inventory.brand,265,ciffs by mountain
inventory.brand,266,coach
inventory.brand,267,cobb hi
inventory.brand,268,cobb hi by baance
inventory.brand,269,cobb hill by balance
inventory.brand,270,cobian
inventory.brand,271,coclico
inventory.brand,272,coconuts by matisse
inventory.brand,273,cod front
inventory.brand,274,coe haan
inventory.brand,275,coegiate surf & sport
inventory.brand,276,cooni
inventory.brand,277,coorfu creations
inventory.brand,278,cooriffics
inventory.brand,279,coumbia
inventory.brand,280,columbia
inventory.brand,281,comfort ease
inventory.brand,282,comfort pus by predictions
inventory.brand,283,comfy feet
inventory.brand,284,converse
inventory.brand,285,corkys
inventory.brand,286,corkys footwear
inventory.brand,287,corkys footwear inc.
inventory.brand,288,corra
inventory.brand,289,corso como
inventory.brand,290,costumefit
inventory.brand,291,cougar
inventory.brand,292,covington
inventory.brand,293,cr
inventory.brand,294,crazy slippers
inventory.brand,295,crocs
inventory.brand,296,croft & barrow
inventory.brand,297,crysta case
inventory.brand,298,ctm
inventory.brand,299,cudas
inventory.brand,300,cushe
inventory.brand,301,cvs
inventory.brand,302,cynthia rowey
inventory.brand,303,daiyshoes
inventory.brand,304,dan post
inventory.brand,305,dana davis
inventory.brand,306,dance cass
inventory.brand,307,dancenwear
inventory.brand,308,danie green
inventory.brand,309,danner
inventory.brand,310,danshuz
inventory.brand,311,danskin now
inventory.brand,312,dansko
inventory.brand,313,david tate
inventory.brand,314,dawgs
inventory.brand,315,dbdk fashion
inventory.brand,316,dc comics
inventory.brand,317,dd
inventory.brand,318,ddi
inventory.brand,319,de bossom coection
inventory.brand,320,de blossom collection
inventory.brand,321,dearfoams
inventory.brand,322,dearfoams - rg barry corp.
inventory.brand,323,dearforms
inventory.brand,324,deicious
inventory.brand,325,deman
inventory.brand,326,delman
inventory.brand,327,deuxe comfort
inventory.brand,328,demonia
inventory.brand,329,derek lam
inventory.brand,330,derek lam 1 crosby
inventory.brand,331,desigua
inventory.brand,332,devious
inventory.brand,333,dexter
inventory.brand,334,df by dearfoams
inventory.brand,335,dg hi
inventory.brand,336,diamondback
inventory.brand,337,diane von furstenberg
inventory.brand,338,diba
inventory.brand,339,diba true
